Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Sur,7 Up,2022,3,2178,3034494.23,2358746.32
Sucursal Sur,Pepsi,2022,3,7912,18885813.05,11454996.35
Sucursal Norte,Coca Cola,2022,4,11100,39353203.02,30167079.27
Sucursal Norte,Fanta,2022,4,1321,1521712.12,996692.98
Sucursal Norte,Sprite,2022,4,6580,15336206.36,11060667.24
Sucursal Norte,7 Up,2022,4,2430,3495821.98,2147067.52
Sucursal Norte,Pepsi,2022,4,8713,19247751.25,12972623.8
Sucursal Centro,Coca Cola,2022,4,13093,46942652.81,34741807.41
Sucursal Centro,Fanta,2022,4,1384,1498815.72,1152365.38
Sucursal Centro,Sprite,2022,4,5862,13671001.9,9375144.08
Sucursal Centro,7 Up,2022,4,2446,3412990.04,2199199.3
Sucursal Centro,Pepsi,2022,4,8047,21454019.71,15540148.1
Sucursal Sur,Coca Cola,2022,4,11647,37499008.51,23994332.03
Sucursal Sur,Fanta,2022,4,1173,1473533.19,1062105.21
Sucursal Sur,Sprite,2022,4,6045,13816488.61,10051074.48
Sucursal Sur,7 Up,2022,4,2440,3599131.74,2681591.66
Sucursal Sur,Pepsi,2022,4,7399,19769255.08,14338544.69
Sucursal Norte,Coca Cola,2022,5,12742,42986156.0,30464168.23
Sucursal Norte,Fanta,2022,5,1356,1641959.32,1187784.96
Sucursal Norte,Sprite,2022,5,6974,14748828.53,11203871.08
Sucursal Norte,7 Up,2022,5,2198,3501280.94,2644465.26
Sucursal Norte,Pepsi,2022,5,8382,18969302.22,13033433.54
Sucursal Centro,Coca Cola,2022,5,13256,41118009.83,27288671.73
Sucursal Centro,Fanta,2022,5,1304,1561185.28,1220655.81
Sucursal Centro,Sprite,2022,5,6477,13784568.81,10428079.7
Sucursal Centro,7 Up,2022,5,2316,3240527.66,2512627.9
Sucursal Centro,Pepsi,2022,5,7583,20089260.62,13572875.3
Sucursal Sur,Coca Cola,2022,5,11477,42077206.87,33000869.17
Sucursal Sur,Fanta,2022,5,1247,1502173.92,952795.78
Sucursal Sur,Sprite,2022,5,6532,15247438.23,10543509.46
Sucursal Sur,7 Up,2022,5,2469,3820400.28,2520238.33
Sucursal Sur,Pepsi,2022,5,7682,18202096.35,14171189.64
Sucursal Norte,Coca Cola,2022,6,12431,45141935.64,34896808.35
Sucursal Norte,Fanta,2022,6,1247,1339537.43,1011187.45
Sucursal Norte,Sprite,2022,6,6581,13743107.78,8811365.82
Sucursal Norte,7 Up,2022,6,2074,2965867.56,1811745.32
Sucursal Norte,Pepsi,2022,6,7794,17984719.89,12388609.57
Sucursal Centro,Coca Cola,2022,6,12757,47060902.46,31636403.72
Sucursal Centro,Fanta,2022,6,1365,1728037.95,1177787.71
Sucursal Centro,Sprite,2022,6,6490,13569929.26,9428112.9
Sucursal Centro,7 Up,2022,6,2330,3198784.97,2361361.75
Sucursal Centro,Pepsi,2022,6,8739,22926947.48,14221135.43
Sucursal Sur,Coca Cola,2022,6,11978,38549253.26,24788949.27
Sucursal Sur,Fanta,2022,6,1310,1621641.32,983588.95
Sucursal Sur,Sprite,2022,6,5942,12468023.65,9402689.0
Sucursal Sur,7 Up,2022,6,2327,3163767.78,2276288.82
Sucursal Sur,Pepsi,2022,6,8621,19928997.06,13708045.16
Sucursal Norte,Coca Cola,2022,7,12991,46893689.78,30378637.71
Sucursal Norte,Fanta,2022,7,1255,1425469.44,996830.04
Sucursal Norte,Sprite,2022,7,6959,16265312.19,10275951.06
Sucursal Norte,7 Up,2022,7,2135,2966343.87,2062549.5
Sucursal Norte,Pepsi,2022,7,7533,20065267.06,14435917.49
Sucursal Centro,Coca Cola,2022,7,12301,38732636.52,25375807.75
Sucursal Centro,Fanta,2022,7,1333,1463427.26,894651.23
Sucursal Centro,Sprite,2022,7,6373,14553068.08,10416224.62
Sucursal Centro,7 Up,2022,7,2126,3468119.41,2707221.86
Sucursal Centro,Pepsi,2022,7,8437,22320363.15,14899647.4
Sucursal Sur,Coca Cola,2022,7,12665,40272647.29,27282532.53
Sucursal Sur,Fanta,2022,7,1306,1623826.67,1047556.08
Sucursal Sur,Sprite,2022,7,6639,15637381.39,11685506.48
Sucursal Sur,7 Up,2022,7,2380,3807077.19,2870536.19
Sucursal Sur,Pepsi,2022,7,8572,20885744.54,13377778.55
Sucursal Norte,Coca Cola,2022,8,13210,41315851.81,28822140.69
Sucursal Norte,Fanta,2022,8,1387,1543592.6,950047.41
Sucursal Norte,Sprite,2022,8,6745,15120932.88,11341474.56
Sucursal Norte,7 Up,2022,8,2456,3437872.63,2353408.7
Sucursal Norte,Pepsi,2022,8,8506,22837555.22,16187346.55
Sucursal Centro,Coca Cola,2022,8,11406,38334132.27,26587619.46
Sucursal Centro,Fanta,2022,8,1396,1618107.11,997476.63
Sucursal Centro,Sprite,2022,8,6258,13495379.0,8223632.15
Sucursal Centro,7 Up,2022,8,2242,3059077.53,1875727.81
Sucursal Centro,Pepsi,2022,8,7792,20412350.66,12947589.15
Sucursal Sur,Coca Cola,2022,8,12411,39447512.52,31545776.79
Sucursal Sur,Fanta,2022,8,1307,1481251.05,1054278.9
Sucursal Sur,Sprite,2022,8,6702,16063889.87,10502801.71
Sucursal Sur,7 Up,2022,8,2324,3438205.33,2063005.58
Sucursal Sur,Pepsi,2022,8,8603,22920131.53,15621021.27
Sucursal Norte,Coca Cola,2022,9,12967,44022009.49,34734505.25
Sucursal Norte,Fanta,2022,9,1355,1637380.95,1119351.84
Sucursal Norte,Sprite,2022,9,6922,16812571.54,12513588.36
Sucursal Norte,7 Up,2022,9,2182,3064564.34,2023784.74
Sucursal Norte,Pepsi,2022,9,7922,19474668.94,15059237.87
Sucursal Centro,Coca Cola,2022,9,11015,35584459.84,25344421.71
Sucursal Centro,Fanta,2022,9,1270,1459616.51,1112514.99
Sucursal Centro,Sprite,2022,9,6309,14717849.17,10485613.35
Sucursal Centro,7 Up,2022,9,2254,3311062.25,2064117.39
Sucursal Centro,Pepsi,2022,9,7692,19302191.95,12785595.3
Sucursal Sur,Coca Cola,2022,9,11608,36907568.76,23602684.31
Sucursal Sur,Fanta,2022,9,1338,1600338.25,1140340.02
Sucursal Sur,Sprite,2022,9,6581,14012627.57,9107128.03
Sucursal Sur,7 Up,2022,9,2046,3104598.22,2050159.45
Sucursal Sur,Pepsi,2022,9,8223,18322747.63,13738044.82
Sucursal Norte,Coca Cola,2022,10,12787,45888810.19,30268505.45
Sucursal Norte,Fanta,2022,10,1403,1518274.56,1161938.25
Sucursal Norte,Sprite,2022,10,6127,13367093.68,8981720.21
Sucursal Norte,7 Up,2022,10,2194,3235220.1,2305211.08
Sucursal Norte,Pepsi,2022,10,8779,23558063.14,15426502.4
Sucursal Centro,Coca Cola,2022,10,12357,39824165.5,24778494.76
Sucursal Centro,Fanta,2022,10,1269,1508181.76,1074717.27
Sucursal Centro,Sprite,2022,10,6271,14352595.47,8671385.0
Sucursal Centro,7 Up,2022,10,2363,3895510.36,2806160.8
Sucursal Centro,Pepsi,2022,10,8610,21839291.68,14493329.07
Sucursal Sur,Coca Cola,2022,10,12590,38718561.81,28789610.47
Sucursal Sur,Fanta,2022,10,1382,1499002.87,953364.78
Sucursal Sur,Sprite,2022,10,7055,14971357.5,10547859.79
Sucursal Sur,7 Up,2022,10,2034,3023499.17,2304866.63
Sucursal Sur,Pepsi,2022,10,8264,20154637.02,15095009.94
Sucursal Norte,Coca Cola,2022,11,13048,45230170.66,28182855.43
Sucursal Norte,Fanta,2022,11,1292,1494483.76,1131811.06
Sucursal Norte,Sprite,2022,11,6686,15484859.59,10213859.96
Sucursal Norte,7 Up,2022,11,2384,3830913.96,2523247.41
Sucursal Norte,Pepsi,2022,11,8198,20115613.11,15843995.89
Sucursal Centro,Coca Cola,2022,11,13030,42653819.63,28184353.16
Sucursal Centro,Fanta,2022,11,1313,1483817.82,984110.2
Sucursal Centro,Sprite,2022,11,7042,17169485.28,13048485.51
Sucursal Centro,7 Up,2022,11,2468,3765840.42,2962126.45
Sucursal Centro,Pepsi,2022,11,7648,19875995.9,15508854.4
Sucursal Sur,Coca Cola,2022,11,11525,40794860.11,29119354.91
Sucursal Sur,Fanta,2022,11,1226,1412734.01,1036212.3
Sucursal Sur,Sprite,2022,11,6192,13820206.19,9336562.59
Sucursal Sur,7 Up,2022,11,2375,3586073.97,2525328.0
Sucursal Sur,Pepsi,2022,11,7285,17491566.84,10532083.67
Sucursal Norte,Coca Cola,2022,12,11908,38983910.2,25812264.98
Sucursal Norte,Fanta,2022,12,1259,1451968.21,945566.59
Sucursal Norte,Sprite,2022,12,6265,13741595.42,9368158.67
Sucursal Norte,7 Up,2022,12,2073,2869912.0,1972996.69
Sucursal Norte,Pepsi,2022,12,7795,19558150.33,13737887.64
Sucursal Centro,Coca Cola,2022,12,11702,39758099.97,30479642.17
Sucursal Centro,Fanta,2022,12,1406,1501070.55,1137339.83
Sucursal Centro,Sprite,2022,12,6595,14286939.53,8803504.65
Sucursal Centro,7 Up,2022,12,2130,3501039.98,2511006.47
Sucursal Centro,Pepsi,2022,12,8568,20244697.17,13493555.83
Sucursal Sur,Coca Cola,2022,12,11870,38368966.59,29368999.32
Sucursal Sur,Fanta,2022,12,1221,1507575.91,1093524.75
Sucursal Sur,Sprite,2022,12,6682,16607287.26,12714055.86
Sucursal Sur,7 Up,2022,12,2418,3432295.3,2373513.16
Sucursal Sur,Pepsi,2022,12,8676,19723476.38,14691645.28
Sucursal Norte,Coca Cola,2023,1,12555,57525693.58,39018535.67
Sucursal Norte,Fanta,2023,1,1115,1061766.83,700472.08
Sucursal Norte,Sprite,2023,1,5709,13169790.0,7948892.88
Sucursal Norte,7 Up,2023,1,3612,5519433.01,3621925.19
Sucursal Norte,Pepsi,2023,1,7242,19991653.03,15378167.01
Sucursal Centro,Coca Cola,2023,1,12859,55385367.86,36467054.47
Sucursal Centro,Fanta,2023,1,1070,918802.38,589634.9
Sucursal Centro,Sprite,2023,1,6341,16872147.07,13477633.32
Sucursal Centro,7 Up,2023,1,3402,5589965.63,3650738.68
Sucursal Centro,Pepsi,2023,1,8094,23318591.94,14459819.17
Sucursal Sur,Coca Cola,2023,1,14184,57665257.1,44492194.4
Sucursal Sur,Fanta,2023,1,972,819334.83,527278.12
Sucursal Sur,Sprite,2023,1,5915,14542590.84,9027206.04
Sucursal Sur,7 Up,2023,1,3345,4525374.31,3422036.91
Sucursal Sur,Pepsi,2023,1,7691,20528097.21,16074658.07
Sucursal Norte,Coca Cola,2023,2,13683,57422936.29,43251120.95
Sucursal Norte,Fanta,2023,2,1075,995444.19,756281.03
Sucursal Norte,Sprite,2023,2,5586,15254141.07,9365413.29
Sucursal Norte,7 Up,2023,2,3567,5792466.98,3930789.35
Sucursal Norte,Pepsi,2023,2,8361,23025579.9,15643621.44
Sucursal Centro,Coca Cola,2023,2,12218,57952124.66,44134833.67
Sucursal Centro,Fanta,2023,2,1036,981724.23,706765.1
Sucursal Centro,Sprite,2023,2,5349,13259683.91,8450482.01
Sucursal Centro,7 Up,2023,2,3161,5010324.93,3765411.0
Sucursal Centro,Pepsi,2023,2,7900,23205790.88,17302712.76
Sucursal Sur,Coca Cola,2023,2,13599,56238283.41,44153565.44
Sucursal Sur,Fanta,2023,2,982,851008.1,529102.94
Sucursal Sur,Sprite,2023,2,5576,14243196.04,10369010.27
Sucursal Sur,7 Up,2023,2,3509,5485707.64,3614847.92
Sucursal Sur,Pepsi,2023,2,7544,21335133.63,14802550.14
Sucursal Norte,Coca Cola,2023,3,14325,60863656.12,37524708.37
Sucursal Norte,Fanta,2023,3,1080,1074129.6,811359.63
Sucursal Norte,Sprite,2023,3,6258,16064204.58,12174205.27
Sucursal Norte,7 Up,2023,3,3346,5160591.11,3335737.54
Sucursal Norte,Pepsi,2023,3,8570,23687549.49,14838578.59
Sucursal Centro,Coca Cola,2023,3,13338,55680229.06,37314389.31
Sucursal Centro,Fanta,2023,3,1105,1028128.35,666953.89
Sucursal Centro,Sprite,2023,3,6302,15870884.93,11832804.28
Sucursal Centro,7 Up,2023,3,3627,5308069.75,3682343.91
Sucursal Centro,Pepsi,2023,3,7250,23205832.08,15864343.06
Sucursal Sur,Coca Cola,2023,3,13949,58361577.5,38816290.74
Sucursal Sur,Fanta,2023,3,1043,1018303.72,745186.51
Sucursal Sur,Sprite,2023,3,5345,13529755.23,9856749.62
Sucursal Sur,7 Up,2023,3,3546,5396755.36,4278727.28
Sucursal Sur,Pepsi,2023,3,7698,22688622.38,15579136.88
Sucursal Norte,Coca Cola,2023,4,13864,58532496.05,36654073.89
Sucursal Norte,Fanta,2023,4,1069,903444.54,666278.91
Sucursal Norte,Sprite,2023,4,5298,13335883.24,8897379.46
Sucursal Norte,7 Up,2023,4,3054,4417019.68,3026135.12
Sucursal Norte,Pepsi,2023,4,7438,21071181.69,12742573.98
Sucursal Centro,Coca Cola,2023,4,12112,57564480.16,36203896.24
Sucursal Centro,Fanta,2023,4,965,821099.23,588012.96
Sucursal Centro,Sprite,2023,4,6370,16256331.46,10155846.96
Sucursal Centro,7 Up,2023,4,3356,5400621.32,3873811.49
Sucursal Centro,Pepsi,2023,4,8012,24109417.89,19044179.64
Sucursal Sur,Coca Cola,2023,4,13587,59064936.67,38712139.61
Sucursal Sur,Fanta,2023,4,1043,993774.2,763889.36
Sucursal Sur,Sprite,2023,4,6400,14591999.68,8922872.76
Sucursal Sur,7 Up,2023,4,3489,5132703.71,4019372.48
Sucursal Sur,Pepsi,2023,4,8597,26972465.91,19653016.46
Sucursal Norte,Coca Cola,2023,5,12271,53755475.01,33547554.97
Sucursal Norte,Fanta,2023,5,925,815366.83,515269.37
Sucursal Norte,Sprite,2023,5,6359,17261437.09,10512254.62
Sucursal Norte,7 Up,2023,5,3335,4996881.6,3975567.4
Sucursal Norte,Pepsi,2023,5,7536,22045887.98,16907617.95
Sucursal Centro,Coca Cola,2023,5,14346,61769430.57,47114481.75
Sucursal Centro,Fanta,2023,5,1102,1073105.38,857121.52
Sucursal Centro,Sprite,2023,5,5700,13176354.11,9977959.38
Sucursal Centro,7 Up,2023,5,3442,5286476.74,3984185.62
Sucursal Centro,Pepsi,2023,5,8303,22207208.01,17180140.3
Sucursal Sur,Coca Cola,2023,5,14332,57313469.82,44177888.87
Sucursal Sur,Fanta,2023,5,974,812143.38,602844.96
Sucursal Sur,Sprite,2023,5,5459,14577578.02,11266494.12
Sucursal Sur,7 Up,2023,5,3229,4874599.81,3101581.23
Sucursal Sur,Pepsi,2023,5,8181,22590000.03,17203084.94
Sucursal Norte,Coca Cola,2023,6,13497,61318997.5,45144315.04
Sucursal Norte,Fanta,2023,6,1033,899151.25,698684.44
Sucursal Norte,Sprite,2023,6,6118,15111378.6,10193984.09
Sucursal Norte,7 Up,2023,6,3402,5344140.46,4166623.78
Sucursal Norte,Pepsi,2023,6,7492,19936226.45,15265012.55
Sucursal Centro,Coca Cola,2023,6,12961,62131362.92,39493758.12
Sucursal Centro,Fanta,2023,6,1124,979096.2,779093.14
Sucursal Centro,Sprite,2023,6,6202,16010054.32,11809522.48
Sucursal Centro,7 Up,2023,6,3055,4850155.7,2974264.47
Sucursal Centro,Pepsi,2023,6,7800,21087412.96,16561856.17
Sucursal Sur,Coca Cola,2023,6,12096,52815208.57,33032425.43
Sucursal Sur,Fanta,2023,6,1096,1017278.61,793004.56
Sucursal Sur,Sprite,2023,6,5307,14695516.27,11236012.04
Sucursal Sur,7 Up,2023,6,3623,5580916.88,3495440.07
Sucursal Sur,Pepsi,2023,6,8510,24585961.6,16473243.31
Sucursal Norte,Coca Cola,2023,7,14498,60778900.24,41961401.55
Sucursal Norte,Fanta,2023,7,939,806173.29,550490.24
Sucursal Norte,Sprite,2023,7,5341,14602566.69,11427190.45
Sucursal Norte,7 Up,2023,7,3322,5314733.28,4016263.36
Sucursal Norte,Pepsi,2023,7,8646,23366655.44,16364682.99
Sucursal Centro,Coca Cola,2023,7,13059,51784559.12,32428085.81
Sucursal Centro,Fanta,2023,7,990,878792.47,662117.01
Sucursal Centro,Sprite,2023,7,5434,13471350.34,9307978.79
Sucursal Centro,7 Up,2023,7,3096,4431447.49,3540077.19
Sucursal Centro,Pepsi,2023,7,7955,24010170.9,14740181.26
Sucursal Sur,Coca Cola,2023,7,14243,64782637.18,40420571.63
Sucursal Sur,Fanta,2023,7,1008,921812.18,737376.1
Sucursal Sur,Sprite,2023,7,5642,14247422.48,10169548.41
Sucursal Sur,7 Up,2023,7,3620,4902893.75,3853700.54
Sucursal Sur,Pepsi,2023,7,8369,26730841.09,20645004.74
Sucursal Norte,Coca Cola,2023,8,12443,50913776.07,32212800.06
Sucursal Norte,Fanta,2023,8,989,885114.56,536848.41
Sucursal Norte,Sprite,2023,8,5590,13671751.22,10781956.34
Sucursal Norte,7 Up,2023,8,3531,5226777.9,4003778.57
Sucursal Norte,Pepsi,2023,8,8586,23619120.27,18773986.03
Sucursal Centro,Coca Cola,2023,8,13857,62738191.03,48897839.94
Sucursal Centro,Fanta,2023,8,1009,962109.38,630744.84
Sucursal Centro,Sprite,2023,8,6203,15077952.38,9925461.12
Sucursal Centro,7 Up,2023,8,3518,5078298.49,3168655.35
Sucursal Centro,Pepsi,2023,8,8431,24577643.27,18464570.8
Sucursal Sur,Coca Cola,2023,8,13016,56360826.57,34968335.22
Sucursal Sur,Fanta,2023,8,1073,1050617.66,761263.49
Sucursal Sur,Sprite,2023,8,5381,13727633.05,8651988.47
Sucursal Sur,7 Up,2023,8,3231,4592044.1,3311911.19
Sucursal Sur,Pepsi,2023,8,8587,25683672.86,15743056.97
Sucursal Norte,Coca Cola,2023,9,13620,55764132.92,34440966.01
Sucursal Norte,Fanta,2023,9,1084,969686.77,714403.22
Sucursal Norte,Sprite,2023,9,5737,15673157.75,10899268.42
Sucursal Norte,7 Up,2023,9,3503,4918634.73,3678595.57
Sucursal Norte,Pepsi,2023,9,8677,25150271.19,15824606.85
Sucursal Centro,Coca Cola,2023,9,12777,54442900.51,39357084.96
Sucursal Centro,Fanta,2023,9,970,947769.11,586452.78
Sucursal Centro,Sprite,2023,9,6229,14784104.0,11586162.04
Sucursal Centro,7 Up,2023,9,3052,4394978.54,2783883.96
Sucursal Centro,Pepsi,2023,9,7771,24903119.26,19876688.08
Sucursal Sur,Coca Cola,2023,9,13744,54910854.51,40973126.14
Sucursal Sur,Fanta,2023,9,951,954414.74,755515.7
Sucursal Sur,Sprite,2023,9,5907,14040339.73,9746730.52
Sucursal Sur,7 Up,2023,9,3460,5160132.51,3599001.88
Sucursal Sur,Pepsi,2023,9,8597,25989648.93,20000505.53
Sucursal Norte,Coca Cola,2023,10,13190,54409860.41,35776547.06
Sucursal Norte,Fanta,2023,10,1100,1002261.71,649730.95
Sucursal Norte,Sprite,2023,10,6182,16312333.97,11422991.66
Sucursal Norte,7 Up,2023,10,3446,5535939.58,3796143.16
Sucursal Norte,Pepsi,2023,10,7864,22400367.43,16026322.55
Sucursal Centro,Coca Cola,2023,10,13169,61327937.75,47501388.08
Sucursal Centro,Fanta,2023,10,1101,962872.47,658519.79
Sucursal Centro,Sprite,2023,10,5565,13045137.84,9922133.44
Sucursal Centro,7 Up,2023,10,3648,5353000.84,4201872.79
Sucursal Centro,Pepsi,2023,10,8719,25549297.23,15699277.96
Sucursal Sur,Coca Cola,2023,10,14064,55686240.29,38886113.46
Sucursal Sur,Fanta,2023,10,1066,1045065.98,727318.57
Sucursal Sur,Sprite,2023,10,5715,14235846.69,9351485.32
Sucursal Sur,7 Up,2023,10,3330,5043631.34,3997917.08
Sucursal Sur,Pepsi,2023,10,8088,21815539.04,14079845.31
Sucursal Norte,Coca Cola,2023,11,12372,50703831.86,40109375.03
Sucursal Norte,Fanta,2023,11,1056,1012948.26,685851.18
Sucursal Norte,Sprite,2023,11,5848,14081307.37,10198844.98
Sucursal Norte,7 Up,2023,11,3325,5014464.63,3806469.19
Sucursal Norte,Pepsi,2023,11,7458,23494125.82,18405159.99
Sucursal Centro,Coca Cola,2023,11,14526,58364884.87,43235958.88
Sucursal Centro,Fanta,2023,11,1083,1057079.14,745052.09
Sucursal Centro,Sprite,2023,11,5784,14771999.65,11073223.32
Sucursal Centro,7 Up,2023,11,3399,4692873.86,3194252.27
Sucursal Centro,Pepsi,2023,11,7274,21692526.13,14418141.77
Sucursal Sur,Coca Cola,2023,11,12171,49357576.65,34170810.48
Sucursal Sur,Fanta,2023,11,1118,1004059.59,768876.69
Sucursal Sur,Sprite,2023,11,5656,13214284.64,9878261.69
Sucursal Sur,7 Up,2023,11,3556,5244315.7,3289400.3
Sucursal Sur,Pepsi,2023,11,7547,23059222.55,14158384.51
Sucursal Norte,Coca Cola,2023,12,13700,65444296.22,44692025.54
Sucursal Norte,Fanta,2023,12,926,838427.97,555004.77
Sucursal Norte,Sprite,2023,12,5295,13756286.61,10462421.21
Sucursal Norte,7 Up,2023,12,3459,5435765.9,3340854.85
Sucursal Norte,Pepsi,2023,12,7216,22437410.8,17195113.78
Sucursal Centro,Coca Cola,2023,12,14315,63205511.41,46113195.85
Sucursal Centro,Fanta,2023,12,1122,1010842.26,781564.4
Sucursal Centro,Sprite,2023,12,5546,14748814.03,11466613.02
Sucursal Centro,7 Up,2023,12,3298,5021288.7,3395534.7
Sucursal Centro,Pepsi,2023,12,8593,25555836.42,16164377.45
Sucursal Sur,Coca Cola,2023,12,12789,58839026.59,46020467.58
Sucursal Sur,Fanta,2023,12,1122,954277.22,635278.53
Sucursal Sur,Sprite,2023,12,6247,15947451.84,12065876.01
Sucursal Sur,7 Up,2023,12,3367,4641451.69,3111290.06
Sucursal Sur,Pepsi,2023,12,7360,23361459.95,15739030.47
Sucursal Norte,Coca Cola,2024,1,14361,79055306.94,59749952.68
Sucursal Norte,Fanta,2024,1,898,635085.23,439337.65
Sucursal Norte,Sprite,2024,1,4757,13044521.55,8573745.69
Sucursal Norte,7 Up,2024,1,5236,7246612.87,4380824.47
Sucursal Norte,Pepsi,2024,1,7852,27510200.3,20867259.2
Sucursal Centro,Coca Cola,2024,1,13445,75089661.48,48001709.91
Sucursal Centro,Fanta,2024,1,799,597055.77,373320.89
Sucursal Centro,Sprite,2024,1,4864,12805451.02,9517217.69
Sucursal Centro,7 Up,2024,1,5133,8322401.42,5900469.15
Sucursal Centro,Pepsi,2024,1,8202,28053379.31,18700102.23
Sucursal Sur,Coca Cola,2024,1,15848,95571051.48,65846889.91
Sucursal Sur,Fanta,2024,1,838,658981.91,416985.71
Sucursal Sur,Sprite,2024,1,4805,13307366.47,8336477.08
Sucursal Sur,7 Up,2024,1,4737,6434455.98,4914638.65
Sucursal Sur,Pepsi,2024,1,7945,29781590.31,23798693.62
Sucursal Norte,Coca Cola,2024,2,15147,94884111.36,58514215.45
Sucursal Norte,Fanta,2024,2,873,685306.19,474473.16
Sucursal Norte,Sprite,2024,2,5171,13790852.37,9078590.13
Sucursal Norte,7 Up,2024,2,5503,8303195.11,5309168.21
Sucursal Norte,Pepsi,2024,2,7400,27412332.92,20920726.11
Sucursal Centro,Coca Cola,2024,2,13612,78174919.49,50845684.76
Sucursal Centro,Fanta,2024,2,876,681512.45,426126.1
Sucursal Centro,Sprite,2024,2,5714,16626580.75,10151927.04
Sucursal Centro,7 Up,2024,2,5454,8061686.16,5994297.87
Sucursal Centro,Pepsi,2024,2,8081,28430268.13,19830721.01
Sucursal Sur,Coca Cola,2024,2,14008,79683215.84,49868019.14
Sucursal Sur,Fanta,2024,2,808,611475.54,391274.04
Sucursal Sur,Sprite,2024,2,4979,14164321.37,11237948.59
Sucursal Sur,7 Up,2024,2,5367,8614350.52,5653992.76
Sucursal Sur,Pepsi,2024,2,8612,32550425.33,23190753.23
Sucursal Norte,Coca Cola,2024,3,14205,75467357.6,51312093.2
Sucursal Norte,Fanta,2024,3,739,505725.68,350401.76
Sucursal Norte,Sprite,2024,3,5612,14427434.17,8963425.46
Sucursal Norte,7 Up,2024,3,5318,8511835.21,6205065.16
Sucursal Norte,Pepsi,2024,3,7858,29198519.42,20200352.19
Sucursal Centro,Coca Cola,2024,3,15347,92439837.74,66929146.13
Sucursal Centro,Fanta,2024,3,769,617830.52,442692.18
Sucursal Centro,Sprite,2024,3,4874,13891112.01,10773804.03
Sucursal Centro,7 Up,2024,3,4678,7222170.73,5573867.22
Sucursal Centro,Pepsi,2024,3,8618,27547610.19,17467786.11
Sucursal Sur,Coca Cola,2024,3,15996,84515446.68,61799286.33
Sucursal Sur,Fanta,2024,3,886,687957.4,415018.29
Sucursal Sur,Sprite,2024,3,5345,14584903.34,10427190.25
Sucursal Sur,7 Up,2024,3,5561,8845676.42,6508279.23
Sucursal Sur,Pepsi,2024,3,7244,26372131.26,18095747.79
Sucursal Norte,Coca Cola,2024,4,15462,85836514.34,65678769.85
Sucursal Norte,Fanta,2024,4,877,612695.88,430749.16
Sucursal Norte,Sprite,2024,4,5529,15548849.04,11373538.23
Sucursal Norte,7 Up,2024,4,5454,8467429.7,6488085.9
Sucursal Norte,Pepsi,2024,4,8730,30926431.86,21561092.65
Sucursal Centro,Coca Cola,2024,4,14014,80022069.55,48219276.23
Sucursal Centro,Fanta,2024,4,804,539180.75,342264.49
Sucursal Centro,Sprite,2024,4,4996,13361902.89,8911870.2
Sucursal Centro,7 Up,2024,4,5285,8277440.76,5493291.43
Sucursal Centro,Pepsi,2024,4,7344,27313807.54,21799996.24
Sucursal Sur,Coca Cola,2024,4,16104,86570786.68,57312480.56
Sucursal Sur,Fanta,2024,4,774,560120.94,390600.57
Sucursal Sur,Sprite,2024,4,5412,15093007.89,10330356.67
Sucursal Sur,7 Up,2024,4,5277,7468141.34,4704907.32
Sucursal Sur,Pepsi,2024,4,7877,30001327.48,22540318.83
Sucursal Norte,Coca Cola,2024,5,14264,75048536.5,53007572.55
Sucursal Norte,Fanta,2024,5,786,574181.04,360047.48
Sucursal Norte,Sprite,2024,5,4896,13438754.79,9789113.4
Sucursal Norte,7 Up,2024,5,4836,6694002.88,4740650.08
Sucursal Norte,Pepsi,2024,5,7867,27822484.39,18362480.52
Sucursal Centro,Coca Cola,2024,5,15281,92632556.24,62024234.06
Sucursal Centro,Fanta,2024,5,890,627237.48,492611.92
Sucursal Centro,Sprite,2024,5,4958,14641926.24,10810772.96
Sucursal Centro,7 Up,2024,5,4597,7399783.01,5066843.87
Sucursal Centro,Pepsi,2024,5,8071,30319492.39,21837919.67
Sucursal Sur,Coca Cola,2024,5,14342,77549734.92,49412760.98
Sucursal Sur,Fanta,2024,5,757,586901.43,393549.74
Sucursal Sur,Sprite,2024,5,5430,13872547.09,8606578.86
Sucursal Sur,7 Up,2024,5,5175,8533011.83,5635076.35
Sucursal Sur,Pepsi,2024,5,7845,25553155.03,18167659.29
Sucursal Norte,Coca Cola,2024,6,13705,80233759.13,49200219.28
Sucursal Norte,Fanta,2024,6,753,594971.95,371734.58
Sucursal Norte,Sprite,2024,6,5112,13111037.75,10269863.38
Sucursal Norte,7 Up,2024,6,5549,8411862.25,6324193.56
Sucursal Norte,Pepsi,2024,6,7730,29426508.2,22725156.18
Sucursal Centro,Coca Cola,2024,6,15303,80526401.58,60437407.67
Sucursal Centro,Fanta,2024,6,846,674119.1,534562.78
Sucursal Centro,Sprite,2024,6,5224,15517393.93,11583261.46
Sucursal Centro,7 Up,2024,6,5240,7441221.68,4470502.24
Sucursal Centro,Pepsi,2024,6,8331,29967193.97,18440670.94
Sucursal Sur,Coca Cola,2024,6,15645,92016332.42,60368339.21
Sucursal Sur,Fanta,2024,6,894,649183.46,402660.21
Sucursal Sur,Sprite,2024,6,5368,15381263.93,11357621.86
Sucursal Sur,7 Up,2024,6,5295,7618617.63,5541727.56
Sucursal Sur,Pepsi,2024,6,8469,30999098.09,21747964.02
